test_date,mkt_ret,gross_ret,net_ret,turnover,tx_cost,vol_rc,ret_rc,ret_rc_xgb,ret_rc_ridge,ret_rc_rf,used_lw,n_held,ens_w_xgb,ens_w_ridge,ens_w_rf,label
2025-06-30,0.06652306038021392,0.14249689195306794,0.14049689195306794,1.0,0.002,0.7891707732043868,0.15056489483382732,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.5,0.25,0.25,baseline
2025-09-30,0.08891628515022579,0.1461445472865978,0.14469524951329832,0.7246488866497317,0.0014492977732994633,0.7972998989805712,0.14322203720153065,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.5,0.25,0.25,baseline
2025-06-30,0.06652306038021392,0.13423286946548674,0.13223286946548674,1.0,0.002,0.7891707732043868,0.14965223275089248,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,56,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_1/3
2025-09-30,0.08891628515022579,0.1389925553840943,0.13748233479122804,0.7551102964331273,0.0015102205928662546,0.7972998989805712,0.12671141757883345,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,53,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_1/3
2025-06-30,0.06652306038021392,0.1424968919531806,0.1404968919531806,1.0,0.002,0.7891707732043868,0.15056489483382732,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.5,0.25,0.25,adaptive
2025-09-30,0.08891628515022579,0.13106192383673945,0.1296440951634172,0.7089143366611151,0.0014178286733222303,0.7972998989805712,0.1625431298806006,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.349864339806954,0.1154280246540273,0.5347076355390187,adaptive
2025-06-30,0.06652306038021392,0.11203412126683596,0.11003412126683595,1.0,0.002,0.7891707732043868,0.13739888368157252,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,53,0.25,0.5,0.25,ridge_heavy
2025-09-30,0.08891628515022579,0.11909187712600232,0.11750347804485668,0.7941995405728156,0.0015883990811456313,0.7972998989805712,0.10343153766789812,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.25,0.5,0.25,ridge_heavy
2025-06-30,0.06652306038021392,0.142496891953029,0.140496891953029,1.0,0.002,0.7802052289447248,0.15056489483382732,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.5,0.25,0.25,vol_deep
2025-09-30,0.08891628515022579,0.14614454728618254,0.14469524951288695,0.7246488866477973,0.0014492977732955944,0.8000082550502718,0.14322203720153065,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.5,0.25,0.25,vol_deep
2025-06-30,0.06652306038021392,0.14249689195277623,0.14049689195277623,1.0,0.002,0.7683494376771688,0.15056489483382732,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.5,0.25,0.25,vol_deep+gate
2025-09-30,0.08891628515022579,0.14614454728609177,0.14469524951279647,0.7246488866476491,0.0014492977732952982,0.7361881815663328,0.14322203720153065,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.5,0.25,0.25,vol_deep+gate
2025-06-30,0.06652306038021392,0.14879182741710603,0.14679182741710603,1.0,0.002,0.7891707732043868,0.12759413337447173,0.16379600791365495,-0.016290572172925115,0.22950075134949086,True,56,0.5,0.25,0.25,model_specific
2025-09-30,0.08891628515022579,0.12909920897929938,0.1277497141732125,0.6747474030434548,0.0013494948060869096,0.7972998989805712,0.12193232597251788,0.14277249361282976,0.04434948804696704,0.13753991106932284,True,55,0.5,0.25,0.25,model_specific
2025-06-30,0.06652306038021392,0.1439353393197102,0.1419353393197102,1.0,0.002,0.8015905662964486,0.18339861994381346,0.16379600791365495,0.1445561441359761,0.22950075134949086,True,54,0.5,0.25,0.25,raw_only
2025-09-30,0.08891628515022579,0.10818111313708804,0.10693904095382024,0.6210360916339,0.0012420721832678,0.7874513441740333,0.10983192686588536,0.14277249361282976,0.030416642181348066,0.13753991106932284,True,54,0.5,0.25,0.25,raw_only
2025-06-30,0.06652306038021392,0.09033723307297221,0.08833723307297221,1.0,0.002,0.8091880108686832,0.1023815984455338,0.138466855273578,-0.016290572172925115,0.16383980165492773,True,56,0.5,0.25,0.25,rank_only
2025-09-30,0.08891628515022579,0.12704700823498014,0.12557759990622222,0.7347041643789537,0.0014694083287579074,0.7885152662463587,0.13503956403755518,0.13854814653133984,0.04434948804696704,0.15254507397364542,True,54,0.5,0.25,0.25,rank_only
