test_date,mkt_ret,gross_ret,net_ret,turnover,tx_cost,vol_rc,ret_rc,ret_rc_xgb,ret_rc_ridge,ret_rc_rf,used_lw,n_held,ens_w_xgb,ens_w_ridge,ens_w_rf,label
2025-06-30,0.06652306038021392,0.14249689195283516,0.14049689195283516,1.0,0.002,0.7891707732043868,0.15056489483382732,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.5,0.25,0.25,baseline_50/25/25
2025-09-30,0.08891628515022579,0.14614454728758453,0.14469524951427998,0.7246488866522687,0.0014492977733045374,0.7972998989805712,0.14322203720153065,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.5,0.25,0.25,baseline_50/25/25
2025-06-30,0.06652306038021392,0.13423286946565297,0.13223286946565296,1.0,0.002,0.7891707732043868,0.14965223275089248,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,56,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_33/33/33
2025-09-30,0.08891628515022579,0.13899255538522332,0.13748233479236457,0.755110296429368,0.001510220592858736,0.7972998989805712,0.12671141757883345,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,53,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_33/33/33
2025-06-30,0.06652306038021392,0.1120341212766685,0.11003412127666849,1.0,0.002,0.7891707732043868,0.13739888368157252,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,53,0.25,0.5,0.25,ridge_heavy_25/50/25
2025-09-30,0.08891628515022579,0.11909187712575245,0.1175034780447542,0.7941995404991262,0.0015883990809982525,0.7972998989805712,0.10343153766789812,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.25,0.5,0.25,ridge_heavy_25/50/25
2025-06-30,0.06652306038021392,0.12042506311534668,0.11842506311534667,1.0,0.002,0.7891707732043868,0.14689591489631307,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,55,1.0,0.0,0.0,xgb_solo
2025-09-30,0.08891628515022579,0.16594134935125104,0.1646498909565708,0.645729197340131,0.001291458394680262,0.7972998989805712,0.18031443222411345,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,52,1.0,0.0,0.0,xgb_solo
2025-06-30,0.06652306038021392,0.08628522112155096,0.08428522112155096,1.0,0.002,0.7891707732043868,0.08489506570318196,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.0,1.0,0.0,ridge_solo
2025-09-30,0.08891628515022579,0.12215455164967375,0.1204224679376794,0.8660418559971728,0.0017320837119943456,0.7972998989805712,0.05647394001993362,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,51,0.0,1.0,0.0,ridge_solo
2025-06-30,0.06652306038021392,0.14422254274986268,0.14222254274986268,1.0,0.002,0.7891707732043868,0.18211134939782797,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,56,0.0,0.0,1.0,rf_solo
2025-09-30,0.08891628515022579,0.11675173035464533,0.11564424428336437,0.553743035640477,0.001107486071280954,0.7972998989805712,0.1547512178747777,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,55,0.0,0.0,1.0,rf_solo
2025-06-30,0.06652306038021392,0.12335189200834254,0.12135189200834254,1.0,0.002,0.7891707732043868,0.14341248999129977,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,53,0.0,0.5,0.5,no_xgb_0/50/50
2025-09-30,0.08891628515022579,0.13024209164866168,0.1287855386195135,0.7282765145740971,0.0014565530291481942,0.7972998989805712,0.08050555570356535,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,53,0.0,0.5,0.5,no_xgb_0/50/50
2025-06-30,0.06652306038021392,0.14249689195257667,0.14049689195257667,1.0,0.002,0.7891707732043868,0.15056489483382732,0.14724253337698717,0.08457438919623794,0.18202945513869884,True,54,0.5,0.25,0.25,adaptive
2025-09-30,0.08891628515022579,0.1310619238358266,0.12964409516250613,0.7089143366602305,0.001417828673320461,0.7972998989805712,0.1625431298806006,0.18138738012687594,0.05695746830200612,0.15587493738754243,True,54,0.349864339806954,0.1154280246540273,0.5347076355390187,adaptive
